"SEASON","TEAM_CONF","OPP_CONF","EXPECTED","UPSET","TOTAL","PERCENT"
"2014","ACC","American Athletic",24,4,28,0.142857142857143
"2014","ACC","Atlantic 10",16,3,19,0.157894736842105
"2014","ACC","Atlantic Sun",6,1,7,0.142857142857143
"2014","ACC","Big 12",5,1,6,0.166666666666667
"2014","ACC","Big East",5,1,6,0.166666666666667
"2014","ACC","Big South",8,3,11,0.272727272727273
"2014","ACC","Big Ten",31,7,38,0.184210526315789
"2014","ACC","Colonial Athletic",7,1,8,0.125
"2014","ACC","Conference USA",4,4,8,0.5
"2014","ACC","Horizon League",5,0,5,0
"2014","ACC","MEAC",10,2,12,0.166666666666667
"2014","ACC","Pac 12",4,4,8,0.5
"2014","ACC","Patriot League",6,1,7,0.142857142857143
"2014","ACC","Southeastern",13,2,15,0.133333333333333
"2014","ACC","Southern",9,3,12,0.25
"2014","America East","Atlantic 10",15,0,15,0
"2014","America East","Atlantic Sun",6,2,8,0.25
"2014","America East","Ivy League",15,3,18,0.166666666666667
"2014","America East","MAAC",9,3,12,0.25
"2014","America East","Northeast",10,3,13,0.230769230769231
"2014","America East","Patriot League",15,2,17,0.117647058823529
"2014","American Athletic","ACC",22,6,28,0.214285714285714
"2014","American Athletic","Atlantic Sun",7,0,7,0
"2014","American Athletic","Big 12",9,1,10,0.1
"2014","American Athletic","Big Ten",19,2,21,0.0952380952380952
"2014","American Athletic","Colonial Athletic",4,1,5,0.2
"2014","American Athletic","Conference USA",38,14,52,0.269230769230769
"2014","American Athletic","Horizon League",6,1,7,0.142857142857143
"2014","American Athletic","MEAC",7,1,8,0.125
"2014","American Athletic","Missouri Valley",4,1,5,0.2
"2014","American Athletic","Southeastern",5,4,9,0.444444444444444
"2014","American Athletic","Southland",5,1,6,0.166666666666667
"2014","American Athletic","Sun Belt",7,1,8,0.125
"2014","American Athletic","SWAC",5,3,8,0.375
"2014","Atlantic 10","ACC",17,2,19,0.105263157894737
"2014","Atlantic 10","America East",13,2,15,0.133333333333333
"2014","Atlantic 10","Big 12",5,0,5,0
"2014","Atlantic 10","Big East",9,1,10,0.1
"2014","Atlantic 10","Big Ten",6,1,7,0.142857142857143
"2014","Atlantic 10","Colonial Athletic",13,1,14,0.0714285714285714
"2014","Atlantic 10","Conference USA",6,1,7,0.142857142857143
"2014","Atlantic 10","Ivy League",7,1,8,0.125
"2014","Atlantic 10","MAAC",14,3,17,0.176470588235294
"2014","Atlantic 10","MEAC",6,1,7,0.142857142857143
"2014","Atlantic 10","Mid-American",8,0,8,0
"2014","Atlantic 10","Missouri Valley",11,0,11,0
"2014","Atlantic 10","Northeast",8,1,9,0.111111111111111
"2014","Atlantic 10","Ohio Valley",3,3,6,0.5
"2014","Atlantic 10","Pac 12",5,0,5,0
"2014","Atlantic 10","Patriot League",4,2,6,0.333333333333333
"2014","Atlantic 10","Southeastern",6,2,8,0.25
"2014","Atlantic 10","Southern",13,3,16,0.1875
"2014","Atlantic Sun","ACC",7,0,7,0
"2014","Atlantic Sun","America East",6,2,8,0.25
"2014","Atlantic Sun","American Athletic",7,0,7,0
"2014","Atlantic Sun","Big Ten",5,0,5,0
"2014","Atlantic Sun","Conference USA",6,1,7,0.142857142857143
"2014","Atlantic Sun","Horizon League",13,2,15,0.133333333333333
"2014","Atlantic Sun","MEAC",10,3,13,0.230769230769231
"2014","Atlantic Sun","Northeast",5,0,5,0
"2014","Atlantic Sun","Ohio Valley",8,1,9,0.111111111111111
"2014","Atlantic Sun","Southeastern",9,0,9,0
"2014","Atlantic Sun","Southern",29,10,39,0.256410256410256
