Date,Away,Home,Probability,Prediciton
11/13/2015,Air Force *,Southern Illinois,3.90%,Expected
11/13/2015,Alabama-Birmingham *,Auburn,4.40%,Expected
11/13/2015,Alabama A&M *,Tulane,5.70%,Expected
11/13/2015,Albany (NY) *,Kentucky,1.00%,Expected
11/13/2015,Allen *,Mercer,0.20%,Expected
11/13/2015,American *,Rhode Island,0.30%,Expected
11/13/2015,Arkansas-Pine Bluff *,Seattle,6.40%,Expected
11/13/2015,Arkansas State *,Southern Illinois-Edwardsville,1.60%,Expected
11/13/2015,Auburn Montgomery *,South Alabama,0.40%,Expected
11/13/2015,Austin College *,Lamar,0.00%,Expected
11/13/2015,Austin Peay *,Vanderbilt,0.00%,Expected
11/13/2015,Ball State *,Bradley,4.40%,Expected
11/13/2015,Belmont *,Marquette,7.20%,Expected
11/13/2015,Binghamton *,St. Bonaventure,1.50%,Expected
11/13/2015,Boise State *,Montana,3.90%,Expected
11/13/2015,Brown *,Saint Peter's,1.10%,Expected
11/13/2015,Cal Poly *,Nevada-Las Vegas,3.90%,Expected
11/13/2015,Cal State Fullerton *,Loyola Marymount,2.70%,Expected
11/13/2015,Cal State Northridge *,Northern Illinois,1.10%,Expected
11/13/2015,Canisius *,Hofstra,1.30%,Expected
11/13/2015,Chadron State *,South Dakota State,0.10%,Expected
11/13/2015,Charleston Southern *,Wichita State,0.20%,Expected
11/13/2015,Chattanooga *,Georgia,6.40%,Expected
11/13/2015,Cincinnati Christian *,Morehead State,0.10%,Expected
11/13/2015,Colgate *,George Mason,21.70%,Expected
11/13/2015,Colorado *,Iowa State,3.90%,Expected
11/13/2015,Coppin State *,Eastern Kentucky,0.20%,Expected
11/13/2015,Cornell *,Georgia Tech,0.10%,Expected
11/13/2015,Covenant *,Liberty,3.90%,Expected
11/13/2015,Dartmouth *,Seton Hall,0.60%,Expected
11/13/2015,Delaware *,Delaware State,10.20%,Expected
11/13/2015,Drexel *,Saint Joseph's,4.40%,Expected
11/13/2015,Eastern Illinois *,Indiana,0.00%,Expected
11/13/2015,Eastern Washington *,Mississippi State,0.50%,Expected
11/13/2015,Elon *,Charlotte,17.60%,Expected
11/13/2015,Fairfield *,Yale,1.60%,Expected
11/13/2015,Fairleigh Dickinson *,Villanova,0.00%,Expected
11/13/2015,Ferrum *,Army,0.00%,Expected
11/13/2015,Florida *,Navy,34.30%,Expected
11/13/2015,Florida Atlantic *,Michigan State,0.20%,Expected
11/13/2015,Gardner-Webb *,Iowa,0.60%,Expected
11/13/2015,Grambling *,East Carolina,1.90%,Expected
11/13/2015,Great Falls *,Idaho State,2.40%,Expected
11/13/2015,Green Bay *,Stanford,3.10%,Expected
11/13/2015,Harris-Stowe *,Murray State,0.00%,Expected
11/13/2015,Hartford *,Central Connecticut State,14.20%,Expected
11/13/2015,High Point *,Texas Tech,3.10%,Expected
11/13/2015,Holy Cross *,Marist,7.20%,Expected
11/13/2015,Houston Baptist *,New Mexico State,0.30%,Expected
11/13/2015,Illinois State *,San Diego State,1.30%,Expected
11/13/2015,Illinois Tech *,Chicago State,0.00%,Expected
11/13/2015,IPFW *,Valparaiso,0.90%,Expected
11/13/2015,IUPUI *,Indiana State,6.40%,Expected
11/13/2015,Jackson State *,Oregon,0.10%,Expected
11/13/2015,Jacksonville State *,Central Michigan,2.40%,Expected
11/13/2015,James Madison *,Richmond,19.60%,Expected
11/13/2015,Jarvis Christian *,North Texas,0.10%,Expected
11/13/2015,Kean *,Columbia,0.00%,Expected
11/13/2015,Kennesaw State *,Alabama,1.00%,Expected
11/13/2015,Lafayette *,George Washington,1.60%,Expected
11/13/2015,Lehigh *,Syracuse,1.50%,Expected
11/13/2015,Lipscomb *,Santa Clara,6.40%,Expected
11/13/2015,Louisiana College *,Louisiana-Lafayette,0.00%,Expected
11/13/2015,Lyndon State *,New Hampshire,0.00%,Expected
11/13/2015,Maine *,Connecticut,0.00%,Expected
11/13/2015,Maryland-Baltimore County *,Wake Forest,2.70%,Expected
11/13/2015,Maryland-Eastern Shore *,Kansas State,0.20%,Expected
11/13/2015,Massachusetts-Lowell *,Northwestern,0.30%,Expected
11/13/2015,Massachusetts Institute of Technology *,Harvard,0.40%,Expected
11/13/2015,McMurry *,Louisiana-Monroe,0.00%,Expected
11/13/2015,McNeese State *,Louisiana State,1.30%,Expected
11/13/2015,Miami (OH) *,Xavier,1.60%,Expected
11/13/2015,Middle Georgia State *,Georgia State,0.50%,Expected
11/13/2015,Milligan *,North Carolina-Wilmington,0.00%,Expected
11/13/2015,Millsaps *,Louisiana Tech,0.00%,Expected
11/13/2015,Milwaukee *,Denver,31.40%,Expected
11/13/2015,Minnesota-Morris *,North Dakota,0.10%,Expected
11/13/2015,Missouri-Kansas City *,Minnesota,0.50%,Expected
11/13/2015,Missouri State *,Oral Roberts,0.80%,Expected
11/13/2015,Monmouth *,UCLA,7.20%,Expected
11/13/2015,Montana State *,Hawaii,1.30%,Expected
11/13/2015,Montreat *,Campbell,0.00%,Expected
11/13/2015,Morgan State *,Virginia,0.00%,Expected
11/13/2015,Mount St. Mary's *,Maryland,0.20%,Expected
11/13/2015,Nevada *,Coastal Carolina,43.20%,Upset
11/13/2015,Niagara *,Old Dominion,1.00%,Expected
11/13/2015,North Carolina *,Temple,65.00%,Upset
11/13/2015,North Carolina A&T *,Purdue,0.00%,Expected
11/13/2015,North Carolina Central *,Clemson,0.10%,Expected
11/13/2015,North Florida *,Illinois,19.60%,Expected
11/13/2015,Northeastern *,Boston University,7.20%,Expected
11/13/2015,Northern Arizona *,Washington State,1.10%,Expected
11/13/2015,Northern Colorado *,Kansas,0.00%,Expected
11/13/2015,Northern Kentucky *,West Virginia,0.00%,Expected
11/13/2015,Northern Michigan *,Michigan,0.20%,Expected
11/13/2015,Northwestern State *,Mississippi,0.90%,Expected
11/13/2015,Oregon Tech *,Portland,0.60%,Expected
11/13/2015,Our Lady of the Lake *,Texas A&M-Corpus Christi,0.30%,Expected
11/13/2015,Pacific *,Arizona,0.50%,Expected
11/13/2015,Pepperdine *,Fresno State,3.50%,Expected
11/13/2015,Pittsburgh-Bradford *,Buffalo,0.00%,Expected
11/13/2015,Portland State *,Grand Canyon,1.50%,Expected
11/13/2015,Prairie View *,Virginia Commonwealth,0.20%,Expected
11/13/2015,Presbyterian *,Furman,1.50%,Expected
11/13/2015,Princeton *,Rider,12.80%,Expected
11/13/2015,Quinnipiac *,Sacred Heart,1.90%,Expected
11/13/2015,Randolph *,Longwood,0.40%,Expected
11/13/2015,Robert Morris *,Pennsylvania,4.40%,Expected
11/13/2015,Rutgers-Newark *,Rutgers,1.00%,Expected
11/13/2015,Sacramento State *,Arizona State,7.20%,Expected
11/13/2015,Saint Francis (PA) *,Notre Dame,0.10%,Expected
11/13/2015,Samford *,Louisville,0.00%,Expected
11/13/2015,San Diego *,Southern California,0.00%,Expected
11/13/2015,San Diego *,UC-Irvine,0.00%,Expected
11/13/2015,San Francisco *,Illinois-Chicago,7.20%,Expected
11/13/2015,San Francisco State *,Saint Mary's (CA),0.20%,Expected
11/13/2015,Seton Hill *,Duquesne,0.20%,Expected
11/13/2015,Shenandoah *,Bucknell,0.00%,Expected
11/13/2015,Siena *,Duke,0.50%,Expected
11/13/2015,Simpson *,Drake,0.00%,Expected
11/13/2015,South Carolina State *,College of Charleston,0.40%,Expected
11/13/2015,South Carolina Upstate *,Texas A&M,0.00%,Expected
11/13/2015,South Dakota *,Wright State,3.10%,Expected
11/13/2015,Southeast Missouri State *,Dayton,0.10%,Expected
11/13/2015,Southeastern Louisiana *,Texas Christian,1.00%,Expected
11/13/2015,Southern *,Arkansas,0.50%,Expected
11/13/2015,Southern Utah *,Utah,1.30%,Expected
11/13/2015,Stephen F. Austin *,Baylor,0.00%,Expected
11/13/2015,Tennessee-Martin *,Oklahoma State,0.10%,Expected
11/13/2015,Tennessee State *,Loyola (MD),26.30%,Expected
11/13/2015,Texas *,Washington,3.90%,Expected
11/13/2015,Texas-Rio Grande Valley *,Miami (FL),0.20%,Expected
11/13/2015,Texas-San Antonio *,Loyola (IL),2.40%,Expected
11/13/2015,Texas Lutheran *,Incarnate Word,0.40%,Expected
11/13/2015,Texas Southern *,New Mexico,0.10%,Expected
11/13/2015,Trinity Baptist *,Florida International,0.10%,Expected
11/13/2015,Troy *,South Florida,9.10%,Expected
11/13/2015,University of the Southwest *,Abilene Christian,0.10%,Expected
11/13/2015,Utah State *,Weber State,7.20%,Expected
11/13/2015,Utah Valley *,Brigham Young,0.10%,Expected
11/13/2015,Vermont *,Eastern Michigan,0.40%,Expected
11/13/2015,Wagner *,St. John's (NY),1.60%,Expected
11/13/2015,Webber *,Georgia Southern,0.00%,Expected
11/13/2015,Western Carolina *,Cincinnati,0.20%,Expected
11/13/2015,Western Illinois *,Wisconsin,6.40%,Expected
11/13/2015,William & Mary *,North Carolina State,31.50%,Expected
11/13/2015,Wofford *,Missouri,1.60%,Expected
11/14/2015,Alabama State *,Virginia Tech,7.20%,Expected
11/14/2015,Averett *,East Tennessee State,0.00%,Expected
11/14/2015,Brigham Young-Hawaii *,Long Beach State,0.10%,Expected
11/14/2015,Bryant,Duke *,1.00%,Expected
11/14/2015,Cal State Northridge,Wright State *,89.60%,Upset
11/14/2015,Campbellsville *,Western Kentucky,0.40%,Expected
11/14/2015,Central Arkansas *,Tulsa,0.60%,Expected
11/14/2015,Central Baptist *,Arkansas-Little Rock,0.50%,Expected
11/14/2015,Central Florida *,Davidson,2.70%,Expected
11/14/2015,Citadel *,Butler,0.00%,Expected
11/14/2015,Cleveland State *,Akron,1.90%,Expected
11/14/2015,Colorado State *,Northern Iowa,10.20%,Expected
11/14/2015,Denver,Santa Clara *,72.00%,Upset
11/14/2015,Eureka,Loyola (IL) *,1.60%,Expected
11/14/2015,Florida Gulf Coast *,Ohio,1.50%,Expected
11/14/2015,Fordham *,Texas-Arlington,2.70%,Expected
11/14/2015,Grambling,Mid-Atlantic Christian *,99.30%,Upset
11/14/2015,Great Falls *,Utah Valley,0.10%,Expected
11/14/2015,Greensboro *,North Carolina-Greensboro,0.60%,Expected
11/14/2015,Hampton *,Winthrop,2.10%,Expected
11/14/2015,Harvard *,Providence,0.00%,Expected
11/14/2015,Hawaii-Hilo *,Montana State,2.00%,Expected
11/14/2015,Howard *,Massachusetts,2.40%,Expected
11/14/2015,Idaho *,San Jose State,40.30%,Upset
11/14/2015,Jacksonville *,Appalachian State,1.90%,Expected
11/14/2015,Loyola (LA) *,Texas-El Paso,0.00%,Expected
11/14/2015,Merchant Marine Academy *,Stony Brook,0.00%,Expected
11/14/2015,Milwaukee *,Lipscomb,19.70%,Expected
11/14/2015,Mississippi Valley State *,Nebraska,0.00%,Expected
11/14/2015,New Orleans *,Bowling Green State,0.50%,Expected
11/14/2015,NJIT,Kentucky *,2.80%,Expected
11/14/2015,Norfolk State *,South Carolina,0.80%,Expected
11/14/2015,Northwest Christian *,Oregon State,0.30%,Expected
11/14/2015,Piedmont *,Tennessee Tech,0.00%,Expected
11/14/2015,Radford *,Georgetown,6.40%,Expected
11/14/2015,Sam Houston State *,Southern Methodist,0.10%,Expected
11/14/2015,San Diego Christian *,Cal State Bakersfield,0.20%,Expected
11/14/2015,South Dakota,Northern Illinois *,50.50%,Upset
11/14/2015,Southern Mississippi *,Memphis,0.50%,Expected
11/14/2015,St. Francis (NY) *,Boston College,0.20%,Expected
11/14/2015,Texas Southern,Creighton *,1.40%,Expected
11/14/2015,Towson *,La Salle,3.90%,Expected
11/14/2015,Virginia Military Institute *,Penn State,1.10%,Expected
11/14/2015,West Virginia Tech *,Toledo,0.10%,Expected
11/14/2015,Western Michigan *,DePaul,2.40%,Expected
11/14/2015,Youngstown State *,Kent State,1.60%,Expected
11/15/2015,Army *,Binghamton,0.40%,Expected
11/15/2015,Cal Poly *,UCLA,4.60%,Expected
11/15/2015,Cal State Northridge *,South Dakota,1.00%,Expected
11/15/2015,Central Connecticut State,Pennsylvania *,16.40%,Expected
11/15/2015,Charleston Southern,Stanford *,6.10%,Expected
11/15/2015,Coastal Carolina,Hawaii *,47.30%,Upset
11/15/2015,Coppin State,Iowa *,6.00%,Expected
11/15/2015,Denver *,Lipscomb,26.20%,Expected
11/15/2015,Fairfield,North Carolina *,23.30%,Expected
11/15/2015,Florida A&M *,Southern Illinois,0.00%,Expected
11/15/2015,Fort Valley State *,Jacksonville State,0.40%,Expected
11/15/2015,George Fox *,Eastern Washington,0.00%,Expected
11/15/2015,Hannibal-LaGrange,Western Illinois *,1.60%,Expected
11/15/2015,Hartford *,Saint Louis,0.00%,Expected
11/15/2015,Howard,Rutgers *,35.20%,Expected
11/15/2015,Iona,Valparaiso *,4.60%,Expected
11/15/2015,Louisiana-Monroe *,Minnesota,0.40%,Expected
