TEAM,DATE,LOCATION,ORPG,DRPG,TRPG,APG,SPG,BPG,TPG,PFPG,FG_PCT,X2P_PCT,X3P_PCT,FT_PCT,PPP,PAPP,WIN,LOSS,WIN_PCT,SOS,CONFERENCE,RESULT,OUTCOME,PROB,ELO_DIFF
Abilene Christian,11/24/2015,Away,0.333333333,-0.333333333,0,-1.666666667,6.666666667,-0.666666667,5,5,-0.021338384,-0.05298913,-0.06547619,-0.119883041,-0.252449223,-0.224806629,-1,1,-0.333333333,1.697222222,Southland,Loss,Expected,0.056387645,-14.90002475
Abilene Christian,2/6/2016,Away,0.257575758,-0.112554113,0.145021645,-0.348484848,1.66017316,0.112554113,-1.997835498,0.218614719,-0.005224549,-0.020870221,0.005711957,0.0803034,0.035721569,-0.059304786,6,-5,0.264069264,-0.260309835,Southland,Loss,Expected,0.001003167,61.02390331
Abilene Christian,12/30/2015,Home,8.166666667,22.58333333,30.75,12.5,7.666666667,2.916666667,13.5,22.08333333,0.442647059,0.489316239,0.339622642,0.703557312,1.008045433,1.056554662,4,8,0.333333333,0.300816082,Southland,Win,Upset,0.936775637,-47.49287614
Abilene Christian,12/22/2015,Away,1.181818182,-1,0.181818182,-1.181818182,3.909090909,1.090909091,1.636363636,4.181818182,-0.026524678,-0.001914048,-0.089663643,0.000310045,-0.074569759,-0.00615339,0,0,0,-0.12365796,Southland,Loss,Expected,0.014103367,-32.99009401
Abilene Christian,2/2/2016,Home,-2.095238095,-3.952380952,-6.047619048,-1.428571429,2.047619048,-2.238095238,-0.571428571,1.619047619,-0.032406241,-0.034854505,-0.006859007,-0.003044664,-0.083721516,0.034219705,-5,5,-0.238095238,-0.005447973,Southland,Win,Upset,0.65650194,-112.191294
Abilene Christian,2/18/2016,Away,-1.473846154,-3.616923077,-5.090769231,-0.595384615,1.990769231,-1.632307692,-1.027692308,2.287692308,-0.031784043,-0.039709417,0.010589514,-0.012867395,-0.064742317,0.028653549,-4,3,-0.136923077,-0.081876121,Southland,Loss,Expected,0.211889333,-92.71773583
Abilene Christian,11/28/2015,Neutral,-1.75,-0.45,-2.2,-2.1,3.85,-0.7,0.25,0.55,-0.019175625,-0.043007443,0.005387931,-0.099764706,-0.09394581,-0.048543689,1,0,0.1,0.056998557,Southland,Loss,Expected,0.002189713,-6.748315347
Abilene Christian,11/22/2015,Away,4.5,2,6.5,1,2,-0.5,-1,1.5,0.051181102,0.061904762,-0.073226545,0.014742015,0.070257793,-0.264661012,1,-1,0.5,-0.083333333,Southland,Loss,Expected,7.94E-05,25.13568655
Abilene Christian,2/15/2016,Home,-2.293478261,-3.304347826,-5.597826087,-3.539855072,2.219202899,0.798913043,1.25,-0.807971014,0.01262941,-0.014370986,0.03171951,0.010444003,-0.043422813,0.059029965,-2,3,-0.106884058,-0.119154223,Southland,Loss,Expected,0.079249814,-87.08446395
Abilene Christian,11/27/2015,Neutral,0.65,-0.95,-0.3,7.45,0.95,0.85,-4.3,3.85,0.051448276,0.016388194,0.106958763,0.117322835,0.192448521,0.017113609,0,-1,0.1,-1.730718954,Southland,Win,Expected,0.084070719,24.26971151
Abilene Christian,12/20/2015,Away,-2.055555556,-0.366666667,-2.422222222,-1.055555556,1.777777778,-2.655555556,-2.122222222,-0.744444444,-0.009468105,-0.022388275,0.02437133,0.025974026,-0.016840542,0.080029173,-1,2,-0.155555556,0.039202727,Southland,Loss,Expected,0.044720982,-43.2323321
Abilene Christian,3/5/2016,Home,-2.909195402,-0.18045977,-3.089655172,0.290804598,-2.397701149,-2.362068966,0.81954023,0.559770115,0.015719756,0.011631743,0.025635717,-0.027359722,-0.031231179,0.075031176,-10,11,-0.359770115,-0.05132851,Southland,Loss,Expected,0.353489698,-161.2193519
Abilene Christian,12/12/2015,Home,-1.25,-3,-4.25,2.75,4.25,2.25,-6.5,-0.25,0.119275461,0.107075024,0.140096618,0.042827443,0.340910371,0.068024337,3,4,0.375,-0.200002345,Southland,Win,Upset,0.266407659,-17.84581036
Abilene Christian,1/16/2016,Away,-2.841666667,2.383333333,-0.458333333,-5.454166667,-1.225,-1.058333333,2.229166667,0.108333333,-0.006825107,-0.034287457,0.012296782,0.025657665,-0.091514938,0.042183806,-3,4,-0.229166667,-0.01810207,Southland,Loss,Expected,0.004504194,-87.07940688
Abilene Christian,1/30/2016,Home,-5.35,-3.15,-8.5,-1.9,0.55,-1.95,-1.9,-2.95,0.02121699,0.015668399,0.014422533,0.033362591,-0.032654744,0.015695289,-2,2,-0.1,0.068368262,Southland,Win,Upset,0.237728036,-10.74207079
Abilene Christian,1/12/2016,Home,0.564102564,2.451282051,3.015384615,-2.169230769,3.333333333,-0.912820513,-0.948717949,2.102564103,-0.016306866,-0.032518865,0.004763039,-0.045124555,-0.032688323,-0.181368518,3,-1,0.169230769,-0.449513381,Southland,Win,Expected,0.08412475,45.86593092
Abilene Christian,2/23/2016,Away,-2.750712251,-0.64957265,-3.4002849,0.206552707,-2.487179487,-2.51994302,0.078347578,-0.025641026,0.014270882,0.011071429,0.019135985,-0.020064803,-0.023339239,0.079151046,-8,9,-0.324786325,-0.049532354,Southland,Loss,Expected,0.204484663,-131.1260434
Abilene Christian,2/8/2016,Away,-5,-3.260869565,-8.260869565,-1,0.565217391,-1.695652174,-1.826086957,-2.260869565,0.025247501,0.011414988,0.038045769,0.018374645,-0.016308084,0.020220979,0,0,0,0.020827407,Southland,Win,Expected,0.07636527,8.957066102
Abilene Christian,2/27/2016,Home,-4.767142857,-1.467142857,-6.234285714,-0.02,-0.748571429,-0.215714286,-1.688571429,-0.14,0.036663522,0.049575415,0.034927647,0.020707763,0.030352439,0.022846049,3,0,0.068571429,-0.027242715,Southland,Win,Expected,0.077621155,15.08388876
Abilene Christian,3/3/2016,Home,0.917771883,-1.457559682,-0.539787798,-1.025198939,0.932360743,-0.128647215,0.24535809,2.9933687,0.019183667,0.023279902,-0.002812459,-0.049661109,0.010055704,0.038063379,-2,5,-0.128647215,-0.07186473,Southland,Loss,Expected,0.100849141,-56.81077013
Abilene Christian,11/17/2015,Home,16,29,45,23,14,2,12,23,0.506849315,0.551724138,0.333333333,0.714285714,1.214470284,0.813953488,1,0,1,-0.333333333,Southland,Win,Expected,0.007587313,14.92630082
